DT_MEDICAO,Contagem,TP_MAX,TP_MIN
2019-09-01,24,16.900,14.650
2019-09-02,24,18.200,13.600
2019-09-03,24,18.650,14.350
2019-09-04,24,16.850,13.700
2019-09-05,24,15.100,11.950
2019-09-06,24,16.650,12.650
2019-09-07,24,18.800,16.800
2019-09-08,24,19.800,18.400
2019-09-09,24,20.350,18.350
2019-09-10,24,22.200,17.450
2019-09-11,24,19.850,16.850
2019-09-12,24,18.800,17.100
2019-09-13,24,18.250,16.000
2019-09-14,24,19.850,16.450
2019-09-15,24,21.300,18.500
2019-09-16,24,23.700,19.800
2019-09-17,24,19.400,17.050
2019-09-18,24,17.650,16.700
2019-09-19,24,19.800,15.950
2019-09-20,24,19.900,16.500
2019-09-21,24,18.250,14.450
2019-09-22,24,19.550,15.000
2019-09-23,24,19.350,11.200
2019-09-24,24,20.150,16.350
2019-09-25,24,21.500,16.700
2019-09-26,24,22.150,17.900
2019-09-27,24,20.250,17.150
2019-09-28,24,20.600,16.700
2019-09-29,24,21.100,18.100
2019-09-30,24,21.700,18.700
2019-10-01,24,22.400,19.750
2019-10-02,24,23.200,19.850
2019-10-03,24,22.500,18.500
2019-10-04,24,21.000,18.500
2019-10-05,24,21.450,18.350
2019-10-06,24,18.050,16.150
2019-10-07,24,20.450,16.450
2019-10-08,24,22.750,17.100
2019-10-09,24,23.050,18.250
2019-10-10,24,22.550,19.000
2019-10-11,24,23.100,19.600
2019-10-12,24,22.250,19.150
2019-10-13,24,26.150,19.400
2019-10-14,24,21.350,16.900
2019-10-15,24,17.450,16.100
2019-10-16,24,19.750,17.600
2019-10-17,24,21.400,19.550
2019-10-18,24,24.250,20.250
2019-10-19,24,21.200,18.450
2019-10-20,24,20.700,16.750
2019-10-21,24,20.050,16.800
2019-10-22,24,19.950,17.800
2019-10-23,24,21.650,17.050
2019-10-24,24,23.650,19.600
2019-10-25,24,24.200,19.000
2019-10-26,24,23.550,18.350
2019-10-27,24,23.000,20.000
2019-10-28,24,25.600,19.350
2019-10-29,24,29.250,20.450
2019-10-30,24,26.800,20.900
2019-10-31,24,26.500,20.950
2019-11-01,24,22.550,20.600
2019-11-02,24,23.100,21.100
2019-11-03,24,23.750,19.700
2019-11-04,24,21.000,18.950
2019-11-05,24,22.750,19.750
2019-11-06,24,24.150,18.050
2019-11-07,24,21.950,19.900
2019-11-08,24,23.600,18.650
2019-11-09,24,23.750,20.700
2019-11-10,24,22.850,20.500
2019-11-11,24,21.450,19.100
2019-11-12,24,22.300,18.700
2019-11-13,24,21.900,19.800
2019-11-14,24,22.800,18.800
2019-11-15,24,21.650,18.250
2019-11-16,24,22.300,17.750
2019-11-17,24,23.650,17.150
2019-11-18,24,25.200,18.700
2019-11-19,24,23.550,19.350
2019-11-20,24,22.750,19.800
2019-11-21,24,22.050,19.600
2019-11-22,24,22.250,19.300
2019-11-23,24,21.200,18.800
2019-11-24,24,23.400,17.050
2019-11-25,24,23.200,17.900
2019-11-26,24,21.950,19.450
2019-11-27,24,21.900,17.850
2019-11-28,24,22.450,17.400
2019-11-29,24,21.700,16.500
2019-11-30,24,22.300,18.300
2019-12-01,24,22.600,18.950
2019-12-02,24,21.200,17.150
2019-12-03,24,22.700,16.350
2019-12-04,24,23.100,19.750
2019-12-05,24,22.150,19.900
2019-12-06,24,24.250,17.900
2019-12-07,24,24.500,18.650
2019-12-08,24,24.950,18.600
2019-12-09,24,23.650,21.250
2019-12-10,24,25.300,20.050
2019-12-11,24,25.500,21.550
2019-12-12,24,28.650,22.050
2019-12-13,24,25.300,21.100
2019-12-14,24,24.000,20.900
2019-12-15,24,23.450,22.200
2019-12-16,24,26.950,20.250
2019-12-17,24,21.200,19.000
2019-12-18,24,25.600,17.850
2019-12-19,24,25.450,21.400
2019-12-20,24,25.000,21.600
2019-12-21,24,25.100,21.500
2019-12-22,24,24.900,21.950
2019-12-23,24,26.400,19.550
2019-12-24,24,25.800,19.650
2019-12-25,24,25.850,22.500
2019-12-26,24,25.650,22.200
2019-12-27,24,25.900,22.150
2019-12-28,24,25.700,22.550
2019-12-29,24,25.250,22.400
2019-12-30,24,24.800,21.600
2019-12-31,24,23.800,21.200
2020-01-01,24,27.450,20.250
2020-01-02,24,24.750,22.000
2020-01-03,24,25.300,21.800
2020-01-04,24,25.500,21.950
2020-01-05,24,26.500,21.250
2020-01-06,24,27.350,22.700
2020-01-07,24,27.450,22.500
2020-01-08,24,25.650,22.250
2020-01-09,24,27.250,23.400
2020-01-10,24,27.400,23.550
2020-01-11,24,27.050,22.200
2020-01-12,24,28.900,23.150
2020-01-13,24,27.250,20.800
2020-01-14,24,26.700,23.750
2020-01-15,24,26.150,22.700
2020-01-16,24,25.250,20.450
2020-01-17,24,24.750,18.600
2020-01-18,24,25.300,20.350
2020-01-19,24,25.550,21.650
2020-01-20,24,26.050,22.650
2020-01-21,24,25.550,22.700
2020-01-22,24,23.200,21.350
2020-01-23,24,23.750,19.650
2020-01-24,24,25.300,19.150
2020-01-25,24,26.450,19.850
2020-01-26,24,27.250,20.650
2020-01-27,24,26.550,23.150
2020-01-28,24,28.500,23.050
2020-01-29,24,25.750,23.400
2020-01-30,24,27.850,23.250
2020-01-31,24,28.350,23.100
2020-02-01,24,27.850,21.800
2020-02-02,24,26.750,23.550
2020-02-03,24,28.350,23.400
2020-02-04,24,26.550,22.300
2020-02-05,24,27.350,23.950
2020-02-06,24,27.800,23.450
2020-02-07,24,26.050,23.700
2020-02-08,24,25.400,22.400
2020-02-09,24,23.950,21.000
2020-02-10,24,26.600,20.750
2020-02-11,24,26.050,19.200
2020-02-12,24,25.000,20.350
2020-02-13,24,27.300,19.900
2020-02-14,24,25.750,21.350
2020-02-15,24,25.350,21.250
2020-02-16,24,23.550,20.100
2020-02-17,24,23.400,20.100
2020-02-18,24,23.350,20.100
2020-02-19,24,25.300,20.550
2020-02-20,24,26.850,21.450
2020-02-21,24,24.300,20.950
2020-02-22,24,23.100,18.600
2020-02-23,24,24.900,17.300
2020-02-24,24,25.400,20.700
2020-02-25,24,24.650,21.950
2020-02-26,24,24.900,21.100
2020-02-27,24,24.550,18.600
2020-02-28,24,25.600,18.450
2020-02-29,24,27.500,20.200
2020-03-01,24,27.100,19.600
2020-03-02,24,27.000,21.200
2020-03-03,24,23.950,19.700
2020-03-04,24,25.550,20.200
2020-03-05,24,25.750,19.900
2020-03-06,24,25.750,19.400
2020-03-07,24,25.600,21.600
2020-03-08,24,25.800,22.600
2020-03-09,24,26.450,21.250
2020-03-10,24,26.950,20.600
2020-03-11,24,26.950,21.250
2020-03-12,24,26.350,23.100
2020-03-13,24,25.200,21.300
2020-03-14,24,25.400,21.050
2020-03-15,24,26.800,21.500
2020-03-16,24,26.600,23.200
2020-03-17,24,25.650,22.700
2020-03-18,24,25.750,22.050
2020-03-19,24,29.400,23.050
2020-03-20,24,24.950,22.850
2020-03-21,24,26.600,19.300
2020-03-22,24,27.200,21.100
2020-03-23,24,27.000,23.250
2020-03-24,24,26.650,22.800
2020-03-25,24,25.800,21.250
2020-03-26,24,25.750,19.800
2020-03-27,24,25.500,21.400
2020-03-28,24,24.000,20.300
2020-03-29,24,23.900,20.900
2020-03-30,24,25.550,20.000
2020-03-31,24,26.550,20.550
2020-04-01,24,24.700,22.450
2020-04-02,24,24.500,21.450
2020-04-03,24,23.350,17.800
2020-04-04,24,23.900,19.350
2020-04-05,24,25.150,18.400
2020-04-06,24,23.550,19.900
2020-04-07,24,20.750,19.350
2020-04-08,24,21.500,13.200
2020-04-09,24,21.950,15.200
2020-04-10,24,21.050,15.450
2020-04-11,24,22.250,15.550
2020-04-12,24,24.250,16.300
2020-04-13,24,23.900,19.600
2020-04-14,24,25.200,20.450
2020-04-15,24,24.750,15.950
2020-04-16,24,24.650,14.900
2020-04-17,24,22.900,16.250
2020-04-18,24,21.950,18.300
2020-04-19,24,24.300,17.250
2020-04-20,24,24.450,17.650
2020-04-21,24,25.500,18.650
2020-04-22,24,25.950,18.650
2020-04-23,24,24.500,17.550
2020-04-24,24,24.200,19.600
2020-04-25,24,25.250,22.350
2020-04-26,24,25.050,19.850
2020-04-27,24,24.550,21.400
2020-04-28,24,23.550,21.900
2020-04-29,24,26.150,21.450
2020-04-30,24,23.250,21.000
2020-05-01,24,22.300,17.150
2020-05-02,24,21.400,16.850
2020-05-03,24,22.650,16.050
2020-05-04,24,23.700,17.400
2020-05-05,24,23.050,18.550
2020-05-06,24,20.950,16.950
2020-05-07,24,20.100,14.700
2020-05-08,24,22.250,14.500
2020-05-09,24,23.250,14.850
2020-05-10,24,23.200,18.550
2020-05-11,24,24.250,18.800
2020-05-12,24,22.400,19.500
2020-05-13,24,22.900,19.500
2020-05-14,24,20.250,18.100
2020-05-15,24,20.200,11.350
2020-05-16,24,22.150,12.750
2020-05-17,24,25.300,16.100
2020-05-18,24,23.200,16.300
2020-05-19,24,22.600,17.350
2020-05-20,24,23.050,20.300
2020-05-21,22,23.200,20.850
2020-05-22,24,22.500,19.250
2020-05-23,24,21.050,17.800
2020-05-24,24,20.150,15.950
2020-05-25,24,24.300,13.900
2020-05-26,24,19.450,16.600
2020-05-27,24,17.850,14.500
2020-05-28,24,20.550,12.650
2020-05-29,24,21.700,14.900
2020-05-30,24,22.050,14.850
2020-05-31,24,23.150,15.550
2020-06-01,24,19.400,15.650
2020-06-02,24,17.750,13.150
2020-06-03,24,19.600,10.250
2020-06-04,24,18.950,13.750
2020-06-05,24,18.700,17.800
2020-06-06,24,21.400,17.550
2020-06-07,24,19.900,15.800
2020-06-08,24,20.600,14.500
2020-06-09,24,20.250,16.600
2020-06-10,24,18.500,16.900
2020-06-11,24,20.950,17.550
2020-06-12,24,24.550,18.500
2020-06-13,24,25.350,17.200
2020-06-14,24,17.450,13.550
2020-06-15,24,18.950,10.900
2020-06-16,24,20.500,18.400
2020-06-17,24,21.650,19.250
2020-06-18,24,22.450,19.950
2020-06-19,24,22.050,18.700
2020-06-20,24,25.500,18.850
2020-06-21,24,26.150,20.200
2020-06-22,24,25.550,18.350
2020-06-23,24,22.550,18.500
2020-06-24,24,23.100,19.550
2020-06-25,24,25.800,18.150
2020-06-26,24,16.850,14.200
2020-06-27,24,14.400,9.950
2020-06-28,24,17.950,11.950
2020-06-29,24,18.000,12.550
2020-06-30,24,20.850,17.000
2020-07-01,24,19.300,15.200
2020-07-02,24,15.850,12.650
2020-07-03,24,13.950,7.600
2020-07-04,24,16.950,10.400
2020-07-05,24,21.150,13.650
2020-07-06,24,17.050,15.300
2020-07-07,24,17.000,12.950
2020-07-08,24,18.200,14.600
2020-07-09,24,17.400,14.150
2020-07-10,24,17.650,11.200
2020-07-11,24,20.550,15.000
2020-07-12,24,18.850,15.050
2020-07-13,24,16.000,14.500
2020-07-14,24,14.550,10.700
2020-07-15,24,14.450,7.800
2020-07-16,24,16.250,9.300
2020-07-17,24,17.050,12.950
2020-07-18,24,19.550,16.800
2020-07-19,24,19.500,17.550
2020-07-20,2,,
2020-07-21,0,,
2020-07-22,7,,
2020-07-23,24,20.800,16.550
2020-07-24,24,20.400,18.200
2020-07-25,24,19.000,14.050
2020-07-26,24,17.150,11.450
2020-07-27,24,18.200,16.100
2020-07-28,24,18.300,13.250
2020-07-29,24,13.350,11.850
2020-07-30,24,15.100,6.850
2020-07-31,24,17.700,12.450
2020-08-01,24,20.500,14.950
2020-08-02,24,19.000,14.300
2020-08-03,24,19.200,16.100
2020-08-04,24,19.300,16.350
2020-08-05,24,20.050,17.600
2020-08-06,24,21.150,15.900
2020-08-07,24,20.450,15.750
2020-08-08,24,18.300,14.150
2020-08-09,24,20.050,13.800
2020-08-10,24,21.050,17.300
2020-08-11,24,23.200,14.500
2020-08-12,24,15.700,11.500
2020-08-13,24,18.750,15.950
2020-08-14,24,17.700,16.050
2020-08-15,24,19.400,16.300
2020-08-16,24,17.850,15.500
2020-08-17,24,19.650,14.950
2020-08-18,15,,
2020-08-19,24,19.750,15.650
2020-08-20,24,15.300,11.200
2020-08-21,24,12.550,7.300
2020-08-22,24,15.750,7.100
2020-08-23,24,18.100,9.450
2020-08-24,24,18.800,14.900
2020-08-25,24,18.500,15.800
2020-08-26,24,18.750,16.900
2020-08-27,24,21.000,17.400
2020-08-28,24,20.100,17.000
2020-08-29,24,19.600,17.650
2020-08-30,24,18.750,15.400
2020-08-31,24,15.650,13.100
2020-09-01,24,17.100,12.700
2020-09-02,24,19.750,16.350
2020-09-03,24,21.600,15.450
2020-09-04,24,16.500,14.200
2020-09-05,24,16.400,15.250
2020-09-06,24,18.200,15.700
2020-09-07,24,17.200,16.550
2020-09-08,24,18.650,17.050
2020-09-09,24,19.800,17.350
2020-09-10,24,21.150,17.850
2020-09-11,24,20.900,16.500
2020-09-12,24,23.100,17.650
2020-09-13,24,23.750,17.650
2020-09-14,24,21.000,15.700
2020-09-15,24,17.650,12.250
2020-09-16,24,20.150,16.200
2020-09-17,24,19.350,17.600
2020-09-18,24,21.000,17.050
2020-09-19,24,19.550,17.100
2020-09-20,24,17.200,13.750
2020-09-21,24,17.600,10.250
2020-09-22,24,17.800,10.600
2020-09-23,24,19.850,15.600
2020-09-24,24,21.900,17.800
2020-09-25,24,21.850,17.550
2020-09-26,24,21.250,18.850
2020-09-27,24,23.900,19.100
2020-09-28,24,20.550,18.350
2020-09-29,24,21.250,15.750
2020-09-30,24,21.300,19.550
